instruction,input,output,text
Why are wire transfers and other financial services in Canada so much more expensive than in Europe?,,"I don't believe there is any particular structural or financial reason that outgoing wire transfers cost so much in Canada, their costs are no higher than other countries (and lower than many).  Wires seem to be an area where the Canadian banks have decided people don't comparison shop, so it's not a competitive advantage to offer a better price. The rates you quoted are on the low side: $80 for a largish international wire is not unusual, and HSBC charges up to $150! There are several alternative ways to transfer money domestically in Canada. If the recipient banks at the same bank, it's possible to go into a branch and transfer money directly from your own account to their account (I've never been charged for this).  The transfer is immediate.  But it couldn't be done online, last time I checked. For transfers where you don't know the recipients bank account, you can pay online with Interac E-Transfers, offered by most Canadian banks.  It's basically e-mailing money.  It usually costs $1 to $1.50 per transfer, and has limits on how much you can send per day/week. Each of the banks also have a bill-pay service, but unlike similar services in the US (where they mail a paper check if the recipient isn't on their system), each Canadian bank has a limited number of possible payees (mostly utilities, governments, major stores).",
Stochastic Oscillator for Financial Analysis,,"While trading in stochastic I've understood, one needs reference (SMA/EMA/Bolinger Band and even RSI) to verify trade prior entering it. Stochastic is nothing to do with price or volume it is about speed. Adjusting K% has ability to turn you from Day trader to -> swing trader to -> long term investor. So you adjust your k% according to chart time-frame. Stochastic setup for 1 min, 5 min ,15, 30, 60 min, daily, weekly, monthly, quarterly, half yearly and yearly are all different. If you try hopping from one time-frame to another just because it is below oversold or above overbought region with same K%, you may get confused. Worst you may not square-off your loss making trade. And rather not use excel; charts gives better visual for oscillators.",
How to motivate young people to save money,,"I recommend pulling up a retirement calculator and having an honest conversation about how long term savings works, and the power of compound interest. Just by playing around with the sliders on an online calculator, you can demonstrate how the early years are the most important. Depending on how much they make now and are considering saving, delaying 5-10 years can easily leave 6-7 figures on the table. If it's specifically a child or close family member, I recommend pulling up your retirement account. Talk with them about how you managed it, and how much you were putting in. Perhaps show them how much is the principal and how much is interest. If you did well, tell them how. If you didn't do as well as you liked, tell them what you would have done differently. Finally, discuss a bit of psychology. Even if they don't have a professional job and are making minimum wage, getting into the habit of saving makes it easier when they eventually make more. A couple of dollars a month isn't much, but getting into the habit makes it easier to save a couple hundred dollars a month later on.",
How quickly will the funds be available when depositing credit card checks?,,"For those who don't know, credit card checks are blank checks that your credit card company sends you.  When you fill them out and spend them, you are taking a cash advance on your credit card account.  You should be aware that taking a cash advance on your credit card normally has extra fees and finance charges above what you have with regular credit card transactions. That having been said, when you take one of these to your bank and try to deposit them, it is entirely up to bank policy how long they will make you wait to use these funds.  They want to be sure that it is a legitimate check and that it will be honored.  If your teller doesn't know the answer to that question, you'll need to find someone at the bank who does.  If you don't like the answer they give you, you'll need to find another bank. I would think that if the credit card is from Chase, and you are trying to deposit a credit card check into a Chase checking account, they should be able to do that instantly.  However, bank policy doesn't always make sense.",
Self assessment expenses - billing date or payment date?,,"Unless you're running a self-employed business with a significant turnover (more than £150k), you are entitled to use cash basis accounting for your tax return, which means you would put the date of transactions as the payment date rather than the billing date or the date a debt is incurred. For payments which have a lag, e.g. a cheque that needs to be paid in or a bank transfer that takes a few days, you might also need to choose between multiple payment dates, e.g. when you initiated the payment or when it took effect. You can pick one as long as you're consistent: You can choose how you record when money is received or    paid (eg the date the money enters your account or the date a cheque   is written) but you must use the same method each tax year.",
How much of my capital should I spend on subscribing to a stock research company?,,"To complement farnsy's answer, I want to warn people against market prediction scams. If they give uniformly distributed buy/sell predictions to 256 people, one of them will get eight correct predictions in a row. They are trading a few cents of Amazon server time for 3% of your capital.",
Do “Instant Approved” credit card inquires appear on credit report?,,"It is not delayed and if it didn't show yet - will not show on that agency's credit report. However, you may find it on another agency's report. There are three major agencies, and creditors don't always check all of them (each inquiry costs them money).",
How much lump sum investment in stocks would be needed to yield a target stable monthly income?,,"If your requirements are hard (must have $1000/month, must have the same or bigger in capital at the end), stocks are a poor choice of investment. However, in many cases, people are willing to tolerate some level of risk to achieve the expected returns. You also do not mention inflation, which can take quite a lot out of your portfolio over the course of ten years. If we make some simplifying assumptions, you want to generate $12,000 a year. You can realistically expect the (whole) stock market, long term (i.e. over time periods substantially longer than 10 years), to return approximately 4 - 5% after factoring in inflation. That means an investment of $240,000 - $300,000 (the math is simplified somewhat here). If you don't care about inflation, you can up the percentage rather somewhat. According to this article, the S&P 500 returned an average of 11.31% from 1928 through 2010 (not factoring in inflation), which would require an investment of approximately $106,100. But! This opens you up to substantial risk. The stock market may go down 30% this year! According to the above article, the S&P returned only 3.54% from 2001 to 2010. Long-term, it goes up, but your investment case is really unsuited to investing in an index to the entire stock market given your requirements. You may be better suited investing primarily in stable bonds, or perhaps a mix of bonds and stocks. Alternatively, you may want to consider even more stable investments such as treasury notes. Treasury notes are all but guaranteed, but with a lousy rate of return. Heck, you could consider a GIC (that may be Canada-only) or even a savings account. There's also the possibility of purchasing an annuity, though almost everyone will advise against such. Personally, I'd go for a mutual fund which invested approximately 70% bonds and the rest in stocks over such a time period. Something like ING Direct's Streetwise Balanced Income Portfolio, if you were in Canada. It substantially lowers your expected return but also lowers your risk. I can't honestly say what the expected return there is; at this point, it's returned 4% per year (before inflation), but has been around only since the beginning of 2008. And to be clear, this is absolutely not free of risk.",
Starting off as an investor,,"You've asked eleven different questions here.  Therefore, The first thing I'd recommend is this: Don't panic. Seek answers to your questions systematically, one at a time.  Search this site (and others) to see if there are answers to some of them.  You're in good shape if for no other reason than you're asking these when you're young. Investing and saving are great things to do, but you also have time going for you.  I recommend that you use your ""other eight hours per day"" to build up other income streams.  That potentially will get you far more than a 2% deposit. Any investment can be risky or safe.  It depends on both your personal context and that of the larger economy.  The best answers will come from your own research and from your advisors (since they will be able to see where you are financially, and in life).",
"As a 22-year-old, how risky should I be with my 401(k) investments?",,"At twenty-two, you can have anywhere between 100%-70% of your securities portfolio in equities. It is reasonable to start at 100% and reduce over time.  The one thing that I would mention with that is that your target at retirement should be 70% stocks/30% bonds.  You should NEVER have more than 30% bonds.  Why?  Because a 70/30 mix is both safer than 100% bonds and will give a higher return.  Absent some market timing strategy (which as an amateur investor, you should absolutely avoid) or some complicated balancing scheme, there is never a reason to be at more than 30% bonds.   A 50/50 mix of stocks and bonds or a 100% bonds ratio not only returns less than the 70/30 mix, it is actually riskier.  Why?  Because sometimes bonds fall.  And when they do, stocks generally gain.  And vice versa.  Because of this behavior, the 70/30 mix is less likely to fall than 50% or 100% bonds.   Does that mean that your stock percentage should never drop below 70%?  No.  If your portfolio contains things other than stocks and bonds, it is reasonable for stocks to fall below 70%.  The problem is that when you drop stocks below 70%, you should drop bonds below 30% as well.  So you keep the stock to bond ratio at 7:3.   If you want to get a lower risk than a 70/30 mix, then you should move into cash equivalents.  Cash equivalents are actually safer than stocks and bonds either individually or in combination.  But at twenty-two, you don't really need more safety.   At twenty-two, the first thing to do is to build your emergency fund.  This should be able to handle six months of expenses without income.  I recommend making it equal to six months of your income.  The reason being that it is easy to calculate your income and difficult to be sure of expenses.  Also, you can save six months of income at twenty-two.   Are you going to stay where you are for the next five years?  At twenty-two, the answer is almost certainly no.  But the standard is the five year time frame.  If you want a bigger place or one that is closer to work, then no.  If you stay somewhere at least five years, then it is likely that the advantages to owning rather than renting will outweigh the costs of switching houses.  Less than five years, the reverse is true.  So you should probably rent now.   You can max out your 401k and IRA now.  Doing so even with a conservative strategy will produce big returns by sixty-seven.  And perhaps more importantly, it helps keep your spending down.  The less you do spend, the less you will feel that you need to spend.   Once you fill your emergency fund, start building savings for a house.  I would consider putting them in a Real Estate Investment Trust (REIT).  A REIT will tend to track real estate.  Since you want to buy real estate with the results, this is its own kind of safety.  It fell in value?  Houses are probably cheap.  Houses increasing in price rapidly?  A REIT is probably growing by leaps and bounds.  You do this outside your retirement accounts, as you want to be able to access it without penalty.",
How much should a new graduate with new job put towards a car?,,"In a very similar situation as yours, I bought a used motorcycle for $3000. It was still reasonably new, very reliable, and with California weather, you can use it year-round. It reduced my time in traffic, and it had very low fuel and maintenance costs. The biggest expense was tires. The biggest pitfall in buying a motorcycle is auto-insurance. Do your research and ask for quotes from your broker before even considering a particular model of bike. When I decided that my finances justified a new motorcycle, I was surprised that full collision coverage cost about $3000/year on a lower powered bike that had a bad accident record because it appealed to new riders. I got a much more powerful bike that appealed to more experienced riders and the premium was only $500/year. Is this answer not what you were looking for? Spend as little as you can on a 4-6 year old car. Drive it until you can save enough cash to buy the one you really want. I'm currently driving a 2007 Corolla, and I'm waiting until I can get a new civic turbo with a manual transmission to replace it. (They currently only offer them with a CVT, but next fall they'll have them with the MT, so I'm probably 2 1/2 years out from buying one used.)",
"Books, Videos, Tutorials to learn about different investment options in the financial domain",,"Those are some very broad questions and I don't think I can answer them completely, but I will add what I can. Barron's Finance and Investment Handbook is the best reference book I have found. It provides a basic description/definition for every type of investment available. It covers stocks, preferred stocks, various forms of bonds as well as mortgage pools and other exotic instruments. It has a comprehensive dictionary of finance terms as well. I would definitely recommend getting it.  The question about how people invest today is a huge one. There are people who simply put a monthly amount into a mutual fund and simply do that until retirement on one side and professional day traders who move in and out of stocks or commodities on a daily basis on the other.",
What tax advantage should I keep an eye for if I am going to relocate?,,"Depends. If you can choose where to relocate to, then I second the ""no income tax"" states. But even of these chose wisely, some have no income taxes at all, others have taxes on some kinds of income. Some don't have neither individual nor corporate taxes, some tax businesses in some ways. Some compensate with higher property taxes, others compensate with higher sales taxes. On the other hand, you might prefer states with income taxes but no sales taxes. It can happen if your current income is going to be low, but you'll be spending your savings. If you don't have a choice (for example, your employer wants you to move closer to their office), then you're more limited. Still, you can use the tax break on moving expenses (read the fine print, there are certain employment requirements), and play with the state taxes (if you're moving to a state with less/no taxes - move earlier, if its the other way - move later). Check out for cities that have income taxes. In some states it cannot happen by law (for example, in California only the state is allowed to collect income taxes), in others it is very common (Ohio comes to mind). Many things to consider in New York. New York City has its own income tax (as well as Yonkers, as far as I remember these are the only ones in the State of New York). So if you want to save on taxes in NYS but live close to the city, consider White Plains etc. If you work in NYC its moot, you're going to pay city taxes anyway. That is also true if you live in NJ but work in the city, so tax-wise it may be more efficient not to live across state lines from your place of work.",
Why are there so many stock exchanges in the world?,,"Stock exchanges have been undergoing a period of consolidation for the past hundred years for the exact reasons you mentioned. The existence of digital trading, harmonized laws and regulations, and fewer relevant currencies have made it more practical for mergers and acquisitions between exchanges. Stock exchanges are most often times private companies that compete with other exchanges, so that also promotes the existence of many exchanges.",
Why are daily rebalanced inverse/leveraged ETFs bad for long term investing?,,"Fund rebalancing typically refers to changing the investment mix to stay within the guidelines of the mutual fund objective.  For example, lets say a fund is supposed to have at least 20% in bonds.  Because of a dramatic increase in stock price and decrease in bond values it finds itself with only 19.9% in bonds at the end of the trading day.  The fund manager would sell sufficient equities to reduce its equity holdings and buy more bonds.   Rebalancing is not always preferential because it could cause capital gain distribution, typically once per year, without selling the fund.  And really any trading within the fun could do the same. In the case you cite the verbiage is confusing.  Often times I wonder if the author knows less then the reader.  It might also be a bit of a rush to get the article out, and the author did not write correctly. I agree that the ETFs cited are suitable for short term traders.  However, that is because, traditionaly, the market has increased in value over the long term.  If you bet it will go down over the long term, you are almost certain to lose money. Like you, I cannot figure out how rebalancing makes this suitable only for short term traders.  If the ETFs distribute capital gains events much more frequently then once per year, that is worth mentioning, but does not provide a case for short versus long term traders.   Secondly, I don't think these funds are doing true rebalancing.  They might change investments daily for the most likely profitable outcome, but that really isn't rebalancing.   It seems the author is confused.",
Should you keep your stocks if you are too late to sell?,,"The stock price is not only based on the general market trend and the stock's current profitability and prospects, but is also based on prediction of how the stock's prospects might change in the future. In almost every case, there are professional investors analysing the stock's future prospects and considering whether it's over or under values for its current price. However even professionals can be totally wrong.  If you feel like you have a good grasp on whether the stock will have improving or declining prospects over time, then you might be (if you're right) equipped to make a sensible decision on whether to hold the stock or not. If you don't think you have a good understanding about the stock, then an understanding of the general market direction might at least make stock in general worth holding. Otherwise, you are simply taking a punt. If you know of another stock that has better prospects, then ask yourself why you would hold onto the stock that you think will perform worse.  But also bear in mind that (in my understanding) research has shown that, on average, people who try to pick stocks rarely do better than a random selection, and more stock trades means more brokerage (which thanks to brokerage losses would mean you will end up doing worse than average unless you really do know better than the market).",
"Is This A Scam? Woman added me on LinkedIn first, then e-mailed offering me millions of dollars [duplicate]",,"Yes.  If you reply back, they'll confirm that Uncle Alex did indeed leave you $7 million, and you just need to send them a few thousand dollars for taxes and estate fees and then they'll wire you the money.  And then there'll be customs fees.  And then more taxes.  And of course, there will be separate import fees.  And so on until you run out of money.",
Tax rules for United States citizens living in the US but being paid from outside the US,,"You can and are supposed to report self-employment income on Schedule C (or C-EZ if eligible, which a programmer likely is) even when the payer isn't required to give you 1099-MISC (or 1099-K for a payment network now). From there, after deducting permitted expenses, it flows to 1040 (for income tax) and Schedule SE (for self-employment tax). See https://www.irs.gov/individuals/self-employed for some basics and lots of useful links. If this income is large enough your tax on it will be more than $1000, you may need to make quarterly estimated payments (OR if you also have a 'day job' have that employer increase your withholding) to avoid an underpayment penalty. But if this is the first year you have significant self-employment income (or other taxable but unwithheld income like realized capital gains) and your economic/tax situation is otherwise unchanged -- i.e. you have the same (or more) payroll income with the same (or more) withholding -- then there is a 'safe harbor': if your withholding plus estimated payments this year is too low to pay this year's tax but it is enough to pay last year's tax you escape the penalty. (You still need to pay the tax due, of course, so keep the funds available for that.) At the end of the first year when you prepare your return you will see how the numbers work out and can more easily do a good estimate for the following year(s). A single-member LLC or 'S' corp is usually disregarded for tax purposes, although you can elect otherwise, while a (traditional) 'C' corp is more complicated and AIUI out-of-scope for this Stack; see https://www.irs.gov/businesses/small-businesses-self-employed/business-structures for more.",
What are my investment options in real estate?,,"I compared investing in real estate a few years ago to investing in stocks that paid double digit dividends (hard to find, however, managing and maintaining real estate is just as hard).  After discussing with many in the real estate world, I counted the average and learned that most averaged about 6 - 8% on real estate after taxes.  This does not include anything else like Dilip mentions (maintenance, insurance, etc).  For those who want to avoid that route, you can buy some companies that invest in real estate or REIT funds like Dilip mentions.  However, they are also susceptible to the problems mentioned above this. In terms of other investment opportunities like stocks or funds, think about businesses that will always be around and will always be needed.  We won't outgrow our need for real estate, but we won't outgrow our need for food or tangible goods either.  You can diversify into these companies along with real estate or buy a general mutual fund. Finally, one of your best investments is your career field - software.  Do some extra work on the side and see if you can get an adviser position at a start-up (it's actually not that hard and it will help you build your skill set) or create a site which generates passive revenue (again, not that hard).  One software engineer told me a few years ago that the stock market is a relic of the past and the new passive income would be generated by businesses that had tools which did all the work through automation (think of a smart phone application that you build once, yet continues to generate revenue).  This was right before the crash, and after it, everyone talked about another ""lost decade.""  While it does require extra work initially, like all things software related, you'll be discovering tools in programming that you can use again and again in other applications - meaning your first one may be the most difficult. All it takes in this case is one really good idea ...",
Does the Black-Scholes Model apply to American Style options?,,"A minor tangent. One can claim the S&P has a mean return of say 10%, and standard deviation of say 14% or so, but when you run with that, you find that the actual returns aren't such a great fit to the standard bell curve. Market anomalies producing the ""100-year flood"" far more often than predicted over even a 20 year period. This just means that the model doesn't reflect reality at the tails, even if the +/- 2 standard deviations look pretty. This goes for the Black-Sholes (I almost abbreviated it to initials, then thought better, I actually like the model) as well. The distinction between American and European is small enough that the precision of the model is wider than the difference of these two option styles. I believe if you look at the model and actual pricing, you can determine the volatility of a given stock by using prices around the strike price, but when you then model the well out of money options, you often find the market creating its own valuation.",
Is there anything I can do to prepare myself for the tax consequences of selling investments to buy a house?,,"If you need less than $125k for the downpayment, I recommend you convert your mutual fund shares to their ETF counterparts tax-free: Can I convert conventional Vanguard mutual fund shares to Vanguard   ETFs? Shareholders of Vanguard stock index funds that offer Vanguard ETFs   may convert their conventional shares to Vanguard ETFs of the same   fund. This conversion is generally tax-free, although some brokerage   firms may be unable to convert fractional shares, which could result   in a modest taxable gain. (Four of our bond ETFs—Total Bond Market,   Short-Term Bond, Intermediate-Term Bond, and Long-Term Bond—do not   allow the conversion of bond index fund shares to bond ETF shares of   the same fund; the other eight Vanguard bond ETFs allow conversions.) There is no fee for Vanguard Brokerage clients to convert conventional   shares to Vanguard ETFs of the same fund. Other brokerage providers   may charge a fee for this service. For more information, contact your   brokerage firm, or call 866-499-8473. Once you convert from conventional shares to Vanguard ETFs, you cannot   convert back to conventional shares. Also, conventional shares held   through a 401(k) account cannot be converted to Vanguard ETFs. https://personal.vanguard.com/us/content/Funds/FundsVIPERWhatAreVIPERSharesJSP.jsp Withdraw the money you need as a margin loan, buy the house, get a second mortgage of $125k, take the proceeds from the second mortgage and pay back the margin loan. Even if you have short term credit funds, it'd still be wiser to lever up the house completely as long as you're not overpaying or in a bubble area, considering your ample personal investments and the combined rate of return of the house and the funds exceeding the mortgage interest rate.  Also, mortgage interest is tax deductible while margin interest isn't, pushing the net return even higher. $125k Generally, I recommend this figure to you because the biggest S&P collapse since the recession took off about 50% from the top.  If you borrow $125k on margin, and the total value of the funds drop 50%, you shouldn't suffer margin calls. I assumed that you were more or less invested in the S&P on average (as most modern ""asset allocations"" basically recommend a back-door S&P as a mix of credit assets, managed futures, and small caps average the S&P). Second mortgage Yes, you will have two loans that you're paying interest on. You've traded having less invested in securities & a capital gains tax bill for more liabilities, interest payments, interest deductions, more invested in securities, a higher combined rate of return. If you have $500k set aside in securities and want $500k in real estate, this is more than safe for you as you will most likely have a combined rate of return of ~5% on $500k with interest on $500k at ~3.5%.  If you're in small cap value, you'll probably be grossing ~15% on $500k. You definitely need to secure your labor income with supplementary insurance.  Start a new question if you need a model for that. Secure real estate with securities A local bank would be more likely to do this than a major one, but if you secure the house with the investment account with special provisions like giving them copies of your monthly statements, etc, you might even get a lower rate on your mortgage considering how over-secured the loan would be. You might even be able to wrap it up without a down payment in one loan if it's still legal.  Mortgage regulations have changed a lot since the housing crash.",
Question about being a resident,,"This sort of involves personal finance, and sort of not. But it's an interesting question, so let's call it on topic? Short answer: yes. Long answer: it depends who's asking. If you're trying to qualify for in-state tuition, for example, you need to have been in state for a certain amount of time. For tax purposes, the first year you move to a new state you need to file part-time resident returns in your previous and current state of residency",
Weekly budgets based on (a variable) monthly budget,,"If you know, approximately, the minimum he would get in a month, his budget should be planned based on this amount. In months where he gets more than this, the excess should be put aside. In really bad months where the income drops below the expected minimum, he can use the money put aside. After a year of putting money aside, he can plan to use and budget this for any other expenses.",
How do annual risks translate into long-term risks?,,"The short answer is the annualised volatility over twenty years should be pretty much the same as the annualised volatility over five years. For independent, identically distributed returns the volatility scales proportionally. So for any number of monthly returns T, setting the annualization factor m = 12 annualises the volatility.  It should be the same for all time scales.  However, note the discussion here: https://quant.stackexchange.com/a/7496/7178 Scaling volatility [like this] only is mathematically correct when the   underlying price model is driven by Geometric Brownian motion which   implies that prices are log normally distributed and returns are   normally distributed. Particularly the comment: ""its a well known fact that volatility is overestimated when scaled over long periods of time without a change of model to estimate such ""long-term"" volatility."" Now, a demonstration.  I have modelled 12,000 monthly returns with mean = 3% and standard deviation = 2, so the annualised volatility should be Sqrt(12) * 2 = 6.9282.   Calculating annualised volatility for return sequences of various lengths (3, 6, 12, 60 months etc.) reveals an inaccuracy for shorter sequences.  The five-year sequence average got closest to the theoretically expected figure (6.9282), and, as the commenter noted ""volatility is [slightly] overestimated when scaled over long periods of time"". Annualised volatility for varying return sequence lengths  Edit re. comment Reinvesting returns does not affect the volatility much.  For instance, comparing some data I have handy, the Dow Jones Industrial Average Capital Returns (CR) versus Net Returns (NR).  The return differences are somewhat smoothed, 0.1% each month, 0.25% every third month.  More erratic dividend reinvestment would increase the volatility.",
Fractional Reserve Banking and Insolvency,,"It certainly is possible for a run on the bank to drive it into insolvency.  And yes, if the bank makes some bad loans, it can magnify the problem. Generally, this does not happen, though.  Remember that banks usually have lots of customers, and people are depositing money and making mortgage payments every day, so there is usually enough on-hand to cover average banking withdrawl activity, regardless of any bad loans they have outstanding. Banks have lots of historical data to know what the average withdrawl demands are for a given day.  They also have risk models to predict the likelihood of their loans going into default.  A bank will generally use this information to strike a healthy balance between profit-making activity (e.g. issuing loans), and satisfying its account holders. In the event of a major withdrawl demand, there are some protections in place to guard against insolvency. There are regulations that specify a Reserve Requirement.  The bank must keep a certain amount of money on hand, so they can't take huge risks by loaning out too much money all at once.  Regulators can tweak this requirement over time to reflect the current economic situation. If a bank does run into trouble, it can take out a short-term loan.  Either from another bank, or from the central bank (e.g. the US Federal Reserve).  Banks don't want to pay interest on loans any more than you do, so if they are regularly borrowing money, they will adjust thier cash reserves accordingly. If all else fails and the bank can't meet its obligations (e.g. the Fed loan fell through), the bank has an insurance policy to make sure the account holders get paid.  In the US, this is what the FDIC is for.  Worst case, the bank goes under, but your money is safe. These protections have worked pretty well for many decades.  However, during the recent financial crisis, all three of these protections were under heavy strain.  So, one of the things banking regulators did was to put the major banks through stress tests to make sure they could handle several bad financial events without collapsing.  These tests showed that some banks didn't have enough money in reserve.  (Not long after, banks started to increase fees and credit card rates to raise this additional capital.) Keep in mind that if banks were unable to use the deposited money (loan it out, invest it, etc), the current financial landscape would change considerably.",
What part of buying a house would make my net worth go down?,,"You can look at buying a house as being a long term investment in not paying rent.   In the short time there are costs to buying (legal, taxes, etc).   This depends on only buying house of the size/location you need e.g. no better then what you would have rented. House buying tent to work out best when there is high inflation, as the rent you would otherwise be paying goes up with  inflation – provided you can live with the short term pain of high interest rates.",
How to make money from a downward European market?,,"If you want to make money while European equities markets are crashing and the Euro itself is devaluing: None of these strategies are to be taken lightly. All involve risk. There are probably numerous ways that you can lose even though it seems like you should win. Transaction fees could eat your profits, especially if you have only a small amount of capital to invest with. The worst part is that they all involve timing. If you think the crash is coming next week, you could, say, buy a bunch of puts. But if the crash doesn't come for another 6 months, all of your puts are going to expire worthless and you've lost all of your capital. Even worse, if you sell short an index ETF this week in advance of next week's impending crash, and some rescue package arrives over the weekend, equity prices could spike at the beginning of the week and you'd be screwed.",
Is it inadvisable to leave a Roth IRA to charity upon death?,,"You need to keep in mind that there's an exemption amount of more than $5M (five million) dollars for estate tax. Unless you used all of it for gifts during your life time, it will more than cover all of your $70K estate, so there's no need in any additional planning. As to Roth vs Traditional IRA - if you want to leave something to your siblings, leave them the Roth. Why would you give the taxable income to your siblings when you can give them the nontaxable one? Charities are tax exempt anyway.",
How to register LLC in the US from India? [duplicate],,"Wyoming is a good state for this. It is inexpensive and annual compliance is minimal. Although Delaware has the best advertising campaign, so people know about it, the reality is  that there are over 50 states/jurisdictions in the United States with their own competitive incorporation laws to attract investment (as well as their own legislative bodies that change those laws), so you just have to read the laws to find a state that is favorable for you. What I mean is that whatever Delaware does to get in the news about its easy business laws, has been mimicked and done even better by other states by this point in time. And regarding Delaware's Chancery Court, all other states in the union can also lean on Delaware case law, so this perk is not unique to Delaware. Wyoming is cheaper than Delaware for nominal presence in the United States, requires less information then Delaware, and is also tax free. A ""registered agent"" can get you set up and you can find one to help you with the address dilemma. This should only cost $99 - $200 over the state fees. An LLC does not need to have an address in the United States, but many registered agents will let you use their address, just ask. Many kinds of businesses still require a bank account for domestic and global trade. Many don't require any financial intermediary any more to receive payments. But if you do need this, then opening a bank account in the United States will be more difficult. Again, the registered agent or lawyer can get a Tax Identification Number for you from the IRS, and this will be necessary to open a US bank account.  But it is more likely that you will need an employee or nominee director in the United States to go in person to a bank and open an account. This person needs to be mentioned in the Operating Agreement or other official form on the incorporation documents. They will simply walk into a bank with your articles of incorporation and operating agreement showing that they are authorized to act on behalf of the entity and open a bank account. They then resign, and this is a private document between the LLC and the employee. But you will be able to receive and accept payments and access the global financial system now. A lot of multinational entities set up subsidiaries in a number of countries this way.",
Do I have to repay the First-Time Homebuyers tax credit if I refinance?,,"No. As long as you live in the house for 3 years, it's yours to keep. Financing has nothing to do with that.",
"Paid cash for a car, but dealer wants to change price",,"Let me get this straight. I would stand my ground. Your son negotiated in good faith. Either they messed up, or they are dishonest. Either way your son wasn't the one supposed to know all the internal rules. I don't think it matters if they cashed the check or not. I would tell them if they have cashed it, that is even more evidence the deal was finalized. But even if they they didn't cash it, it only proves they are very disorganized. If for some reason your son feels forced to redo the deal, have him start the negotiations way below the price that was agreed to.  If the deal for some strange reason gets voided don't let him agree to some sort of restocking fee.",
Do people tend to spend less when using cash than credit cards?,,"Psychology Today had an interesting article from July 11, 2016, in which they go through the psychological aspects of using cash vs. a credit card. This article cites a 2008 paper in the Journal of Experimental Psychology: Applied that found: “the more transparent the payment outflow, the greater the aversion to spending or higher the ‘pain of paying’ …leading to less transparent payment modes such as credit cards and gift cards (vs. cash) being more easily spent or treated as play or ‘monopoly money.’” The article cites a number of other studies that are of interest on this topic as well.",
Any difference between buying a few shares of expensive stock or a bunch of cheap stock,,"I was thinking that the value of the stock is the value of the stock...the actual number of shares really doesn't matter, but I'm not sure. You're correct.  Share price is meaningless.   Google is $700 per share, Apple is $100 per share, that doesn't say anything about either company and/or whether or not one is a better investment over the other. You should not evaluate an investment decision on price of a share.  Look at the books decide if the company is worth owning, then decide if it's worth owning at it's current price.",
